,Player,Pos,Tm,G,MP,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,RAPM,RAPM__Off,RAPM__Def,Salary 2020-21
886,Jeff Teague,PG,TOT,44,789,12.0,0.7,0.6,1.3,.079,-2.0,-0.4,-2.4,-0.1,460,6.2,14.6,.426,1.8,4.3,.429,4.4,10.3,.425,4.3,5.0,.852,0.8,3.8,4.6,6.3,1.7,0.6,2.9,3.1,18.5,111,114,1.39,1.64,-0.25,3372826.0
904,Garrett Temple,SG,CHI,41,1096,9.1,0.3,0.9,1.3,.057,-3.0,-0.1,-3.1,-0.3,461,5.3,12.5,.426,2.3,6.5,.349,3.0,5.9,.511,1.4,1.8,.825,1.0,4.3,5.3,3.7,1.5,0.9,1.8,4.0,14.4,107,114,2.9,1.71,1.19,4767000.0
905,Tyrell Terry,PG,DAL,11,56,6.0,-0.1,0.1,-0.1,-0.051,-7.7,2.2,-5.5,-0.1,462,4.4,14.1,.313,0.0,6.2,.000,4.4,7.9,.556,0.9,2.6,.333,0.0,5.3,5.3,5.3,4.4,0.0,1.8,1.8,9.7,75,108,-0.19,-0.79,0.6,1289846.0
906,Daniel Theis,C,TOT,54,1306,14.9,2.0,1.4,3.4,.127,-0.7,0.5,-0.2,0.6,463,7.7,14.1,.544,1.5,4.7,.317,6.2,9.4,.657,2.2,3.3,.652,2.6,7.8,10.4,3.4,1.2,1.9,2.0,5.3,19.0,120,112,1.61,1.3,0.31,5000000.0
915,Matt Thomas,SG,TOT,34,255,6.1,-0.2,0.1,-0.1,-0.012,-4.1,-2.8,-6.9,-0.3,466,6.1,17.4,.348,3.8,11.7,.323,2.3,5.7,.400,1.1,1.3,.857,0.9,4.9,5.9,2.7,0.6,0.0,1.9,2.8,17.1,95,116,-0.22,-0.84,0.62,1517981.0
924,Tristan Thompson,PF,BOS,43,987,15.3,1.5,1.0,2.5,.124,-0.8,-1.2,-2.0,0.0,467,7.0,13.0,.540,0.0,0.1,.000,7.0,12.8,.547,2.9,4.8,.608,6.4,10.8,17.2,2.4,0.8,1.0,2.2,4.6,16.9,119,112,0.44,-0.16,0.6,9258000.0
925,Sindarius Thornwell,SG,NOP,14,73,4.5,-0.2,0.1,-0.1,-0.064,-6.1,0.1,-5.9,-0.1,468,4.6,13.9,.333,2.0,6.0,.333,2.7,8.0,.333,0.0,1.3,.000,0.7,2.7,3.3,2.7,3.3,0.7,2.7,2.0,11.3,77,114,0.94,0.6,0.35,747435.0
926,Matisse Thybulle,SG,PHI,54,1061,10.0,0.2,2.2,2.4,.108,-2.7,4.2,1.5,0.9,469,3.7,8.9,.419,1.6,5.3,.305,2.1,3.6,.588,0.4,0.7,.500,1.2,3.7,4.8,2.2,3.7,2.4,1.0,4.8,9.5,107,103,1.8,1.25,0.55,2711280.0
927,Obi Toppin,PF,NYK,48,539,11.2,0.2,0.8,1.0,.085,-2.5,0.1,-2.4,-0.1,473,7.2,15.1,.479,1.7,6.1,.273,5.6,9.0,.619,1.5,2.0,.727,1.8,8.1,9.8,2.1,1.1,1.0,1.9,4.3,17.6,107,109,-1.2,-0.59,-0.6,4862040.0
928,Karl-Anthony Towns,C,MIN,36,1230,23.3,2.7,1.1,3.8,.148,4.1,0.5,4.6,2.0,476,11.9,24.3,.491,3.3,8.4,.395,8.6,15.9,.542,7.0,8.0,.874,3.6,11.4,15.0,6.3,1.0,1.9,4.5,5.0,34.2,116,113,1.09,1.11,-0.02,29430000.0
929,Gary Trent Jr.,SG,TOT,53,1665,12.7,1.3,0.5,1.8,.052,-0.3,-2.0,-2.3,-0.1,477,8.8,21.0,.419,4.6,11.6,.395,4.2,9.4,.449,2.1,2.7,.780,0.6,3.3,3.9,2.3,1.5,0.3,1.2,2.5,24.2,110,119,0.08,1.14,-1.06,1663861.0
938,P.J. Tucker,PF,TOT,39,1072,5.9,0.0,0.8,0.8,.035,-4.6,0.3,-4.3,-0.6,478,2.4,6.5,.374,1.4,4.3,.330,1.0,2.2,.460,0.8,1.0,.783,1.8,5.7,7.5,2.1,1.4,0.9,1.5,4.3,7.1,103,115,-3.12,-1.88,-1.24,7969537.0
947,Myles Turner,C,IND,47,1455,15.6,1.2,2.2,3.4,.113,-1.3,1.7,0.4,0.9,480,6.7,14.1,.477,2.3,6.7,.335,4.5,7.4,.606,3.6,4.6,.782,2.1,8.0,10.0,1.6,1.3,5.2,2.2,5.4,19.4,112,108,1.22,0.12,1.1,18000000.0
948,Denzel Valentine,SG,CHI,50,875,10.6,-0.1,0.8,0.7,.038,-1.9,-0.8,-2.7,-0.2,482,7.3,19.1,.383,3.7,11.2,.333,3.6,7.9,.455,0.7,0.7,1.000,1.1,8.3,9.4,4.6,1.4,0.2,1.8,3.0,19.0,102,113,2.08,0.16,1.92,4642800.0
949,Jarred Vanderbilt,PF,MIN,50,869,15.7,1.0,1.1,2.1,.115,-2.0,1.1,-0.9,0.2,483,5.7,9.6,.597,0.1,0.2,.250,5.7,9.4,.605,2.8,5.0,.565,4.5,10.3,14.8,3.5,2.6,2.1,2.6,5.2,14.3,117,110,-0.66,-1.7,1.03,1663861.0
950,Fred VanVleet,SG,TOR,45,1625,17.0,2.2,1.7,3.9,.114,2.2,-0.1,2.1,1.7,484,8.5,21.8,.391,4.4,11.9,.366,4.2,9.9,.422,4.6,5.2,.885,0.8,4.7,5.5,8.2,2.3,1.1,2.6,3.2,26.0,113,112,2.45,1.62,0.83,21250000.0
951,Devin Vassell,SF,SAS,46,755,11.5,0.4,1.0,1.4,.092,-2.0,1.4,-0.7,0.3,485,5.5,13.2,.415,2.7,6.7,.404,2.8,6.5,.426,1.9,2.1,.879,1.2,6.9,8.0,2.7,2.4,0.9,1.2,4.1,15.5,111,110,-0.05,-0.48,0.43,4033440.0
